小程序名称,评价人数,人气,好评率,分类,标签,作者,发布时间,小程序介绍,评分
速博竞彩,1,1451,100%,体育综合,体育赛事信息查询彩票,哈尔滨捷亿网络技术有限公司,2017-03-02,速博竞彩是一款为彩民提供方便快捷的购彩查询工具。包括福彩（双色球、福彩3D、七乐彩）和体彩（大乐透、七星彩、排列三、排列五）开奖信息，每日结果更新及时，历史开奖查询便捷。目前已经正式上架，欢迎体验。,5.0
雷子北斗,2,1435,100%,生活汽车,车联网雷子北斗汽车北斗导航,浪里个男,2017-01-17,湖南省雷子北斗科技官方小程序。雷子北斗，车生活，心服务。,5.0
搜狐视频官方,4,1435,100%,视频在线视频,视频官方在线视频,搜狐视频官方,2017-02-14,搜狐视频网络最新最热短视频内容，简单快捷，无需下载关注。,5.0
全明星探lite,3,1427,74%,阅读资讯,全明星探明星八卦娱乐资讯新闻,北京圈圈科技有限公司,2017-02-21,全明星探，发现最真实的娱乐圈！追星最强神器。地图搜索，体验捕捉野生明星快感，即拍即发，爆料八卦娱乐新闻内幕。,3.7
邻友趣,1,1353,100%,社交娱乐,社交娱乐,邻友趣,2017-06-08,邻友趣，致力于帮助玩家找到游戏好友进行互动的平台，支持按条件寻找，编辑专属主页，给好友留言等多种功能。,5.0
Fiu店,1,1339,100%,购物商城,数码家电户外运动文创玩品家居日用,·@_@·,2017-02-14,“Fiu店”是一款为用户带去生活新质感的购物平台，为用户提供新的美学智能产品。,5.0
码上好,1,1331,20%,购物商城,推广制作广告设计,码上好,2017-02-05,码上好是一款非常实用的小程序推广制作应用，码上好小程序专门服务于中小型企业，帮助中小型企业制作研发相应的小程序软件，为企业的推广带来更好的便利，抓住市场核心；喜欢就扫描二维码进入码上好小程序咨询你的问题！,1.0
内涵妹视频,2,1317,90%,视频在线视频,每日极优质高清内涵段子视频乐趣搞笑生活,北漂胡,2017-02-14,每日精挑细选几十条极优质的高清内涵段子视频，带给你生活上的无限乐趣和了解更多内涵搞笑的知识，从而丰富你业余的生活！,4.5
速背单词,0,1296,0%,教育单词字典,英语单词字典翻译,速背单词,2017-02-01,定时提醒背单词，帮你有效快速的记忆单词。,0.0
天天基金网+,1,1291,100%,金融理财,基金股票金融理财,天天基金网,2017-02-08,天天基金小程序，集基金净值、估值、排行、评级和基金查询等多功能一体，致力向投资者提供权威、专业、及时、全面的理财服务。,5.0
云辉智造印刷包装行业管理系统,0,1289,0%,办公办公软件,信息查询,云辉智造印刷包装行业管理系统,2017-01-16,本系统可以方便企业销售人员查询我的客户、远程移动端下单、查看进度、发货查询等等。,0.0
糖豆广场舞视频大全,5,1273,88%,视频在线视频,广场舞视频,北京梦之窗数码科技有限公司,2017-02-14,糖豆广场舞是一款具有极高知名度的学舞软件，200挑教学视频、数千位舞蹈老师、数百种舞蹈类型，每2个舞友种就有1个在用糖豆。,4.4
小抽奖,0,1258,0%,购物福利,购物抽奖,小抽奖,2017-04-14,小抽奖小程序是提供给用户用于发布抽奖以及参与抽奖的一个抽奖工具。用户通过该工具发布抽奖信息，他人经由好友分享进行参与。,0.0
贝克足球Mini,0,1241,0%,体育,贝克足球,贝克足球Mini,2017-03-24,中国本土球迷文化缔造者，综合性球迷服务平台,0.0
微拼123,6,1231,100%,购物团购,拼团商城电商海淘,小贝,2017-02-20,海淘！海淘！，淘出海内外商品，拼“1、2、3”，一起拼起来！,5.0
百道好书推荐,0,1226,0%,阅读听书,小说名著古言现言,百道好书推荐,2017-01-20,百道好书推荐,0.0
格瓦拉电影演出,1,1219,100%,生活票务,电影院在线购票票务电影票,北京微影时代科技有限公司,2017-02-17,格瓦拉小程序，你的文艺生活指南，为你提供电影、演唱会、话剧、展览、音乐节 、儿童亲子、赛事等一站式娱乐票务服务。,5.0
百度外卖Lite,0,1212,0%,生活美食,生活美食订餐,北京小度信息科技有限公司,2017-03-17,品质生活安全送达,0.0
即播,16,1211,100%,视频在线视频,即播 视频 搞笑,北京微助信息服务有限公司,2017-02-15,“即播”以人人分享、人人观看为理念，让用户在碎片化的时间里观看搞笑小视频。,5.0
企微,0,1201,0%,办公办公软件,办公办公软件,企微,2017-04-08,企微小程序便于业务人员扫码上报数据，提高员工办事儿效率，便捷人员办公，及时知晓业务销售情况，了解销售市场行情变化，是办公的小帮手哦。,0.0
小电影大全,0,1156,0%,视频在线视频,中外电影搞笑视频资讯,鲲育（北京）教育科技有限公司,2017-02-17,为爱电影的人而生，推荐最新鲜，最热门，最好看，最值得看的中外电影，承包你全年的电影片单，有我，电影从未如此有趣。,0.0
掌阅读书,0,1142,0%,阅读电子书,电子书小说在线阅读,掌阅科技股份有限公司,2017-02-17,打开掌阅，发现好书！在这里一定可以找到你想看的下一本书，让你从此告别书荒！,0.0
去哪儿机票火车票酒店,0,1129,0%,旅游酒店住宿,旅游酒店住宿,去哪儿机票火车票酒店,2017-04-11,光速抢票，极速出票，免登录，可预约,0.0
艺龙门票玩乐,1,1127,100%,旅游攻略,旅游攻略,艺龙门票玩乐,2017-03-31,艺龙官方门票小程序，提供最全的国内外旅游景点门票预订、以及丰富的景点介绍和游客点评等服务。买门票，上艺龙！,5.0
把妹技巧,0,1116,0%,社交社区,社交社区,把妹技巧,2017-04-08,把妹技巧小程序是一款非常不错的社交工具，还是单身的朋友可以掌握更多恋爱技巧哦，让交友变得更简单。,0.0
小擎智能后视镜,0,1115,0%,出行,智能后视镜实时拍照实时录像预约导航,小擎智能后视镜,2017-02-05,"小擎智能后视镜控制终端，您的远程车载管家。实时拍照,实时录像,预约导航,一键导航,找车,千里传音,行车轨迹,离线升级等",0.0
广东互联网金融协会GIFA,0,1110,0%,金融理财,金融理财互联网,广东互联网金融协会,2017-03-17,广东互联网金融协会，是在广东省金融办的指导下，由广东省民政厅批准，于2014年5月成立的中国首家省级互联网金融行业自律组织。,0.0
南京环宇城会员福利,0,1106,0%,购物福利,生活福利,南京环宇城会员福利,2017-04-08,南京环宇城会员福利小程序是一款非常实用的生活消费福利商城，为你提供电影票、停车券、餐饮券等一系列生活购物福利，在线消费购物享实惠，让你的生活更便捷。、,0.0
封面新闻+,3,1105,66%,阅读资讯,新闻资讯时政信息,四川封面传媒有限责任公司,2017-02-17,封面新闻官方小程序,3.3
周末去哪儿+,0,1101,0%,社交娱乐,社交娱乐,周末去哪儿+,2017-06-09,周末去哪儿是一款专注让人们体验更美好周末的app，解决你周末不知道去哪儿玩、玩什么的问题。,0.0
点点记账,0,1100,0%,金融理财,金融记账理财计算工具,刻度科技有限公司,2017-01-18,点点记账是一款个人记账小程序，专注为个人提供简单、高效、便捷的记账功能，帮助你掌控自己的消费。,0.0
吾游网,0,1098,0%,旅游旅行,交通出行门票酒店飞机票,吾游网,2017-01-13,十堰吾游网提供旅游出境游、国内游、十堰周边游、酒店、门票，租车等在线预订服务,0.0
麻辣社区+,3,1093,100%,社交社区,社区论坛,四川麻辣文化传媒有限责任公司,2017-03-07,麻辣社区是四川省委宣传部直属事业单位、全国重点新闻网站四川新闻主办的特色文化互动论坛。,5.0
招联金融,0,1084,0%,金融理财,分期电商金融,招联消费金融有限公司,2017-03-17,提供消费分期、电商、借款服务,0.0
投资帮金融财经,0,1084,0%,金融理财,金融理财,深圳市优众服务计算机有限责任公司,2017-03-17,投资帮-金融财经快讯速递，财经名家名言推荐，精选全球金融市场时事要闻和行情资讯,0.0
摩堡国际金融,0,1083,0%,金融理财,金融产品,广州摩堡网络科技有限公司,2017-03-17,国际金融产品、现货黄金、白银最新价格,0.0
正心谷资本,0,1075,0%,金融理财,投资理财金融股票证券基金,正心谷资本,2017-01-18,正心谷资本是专业的私募基金投资管理平台，在这里您能找到优秀的私募基金产品和获得高品质的私募基金投资服务,0.0
八角星视频制作,3,1075,100%,视频在线视频,视频制作模板特效在线视频,八角星视频制作,2017-02-14,这款团建内涵丰富的特效模板，用户能轻松的结合音乐、照片、视频，制作自己想要的视频。,5.0
微博热门,1,1050,100%,社交娱乐,社交娱乐,微博热门,2017-06-07,新浪微博出品的轻版微博应用，一手明星动态，时下热点事件，搞笑幽默段子等热门微博等你来看。,5.0
房产估值,3,1042,100%,工具查询,信息查询房产估值房屋抵押贷款服务,房产估值,2017-01-18,本小程序是招商银行为广大市民提供的房产估值查询和线上申请房屋抵押贷款服务。,5.0
钢琴谱大全,0,1026,0%,教育学习,钢琴谱在线教育在线学习,钢琴谱大全,2017-01-24,为您提供优质钢琴谱，弹琴不再愁。,0.0
金山词霸翻译,1,1024,100%,教育学习,字典在线教育翻译工具,珠海金山办公软件有限公司,2017-03-03,金山词霸是一款快速，准确的翻译工具。,5.0
土拨鼠装修效果图,0,1021,0%,生活家装,装修家居房产信息装修顾问装修设计,土拨鼠装修效果图,2017-01-17,在线海量装修效果图，涵盖欧式、简约、地中海、田园、现代、美式、古典、新中式等26种装修风格；涉及不同居室，包括楼房、庭院、复式、公寓等户型；无论是你预算控制在5万以内的简装派还是预算超30万的豪华装修，你想要的装修设计，在这里总能及时找到！,0.0
王者视频集锦,9,1022,100%,社交娱乐,王者荣耀搞笑视频集锦囧镜头极限击杀花样作死游戏时刻,虎猫网络,2017-04-12,王者荣耀视频集锦小程序汇聚了最精彩的搞笑视频、极限击杀、逗逼逃跑、花样作死、囧镜头，精彩永不停歇。,5.0
火呗,1,1017,100%,购物商城,在线活动平台在线展销会在线培训平台微商管理平台,广州睿码信息技术有限公司,2017-02-17,火呗是国内最大的线上活动平台，社群营销神器，活动开始「打开即用」，活动结束「用完即走」。,5.0
趣跑地图,3,1010,100%,工具查询,工具查询运动,趣跑地图,2017-06-06,一款创意跑步APP，提供了全国各地的创意轨迹图形，让你秒变跑画大师，让跑步从此变得更快乐！,5.0
抠电影+,0,1010,0%,生活票务,网上购票电影票,抠电影+,2017-02-16,一款基于移动社交的电影在线选座超低价购票的手机应用。它是在线选座并且一站式快速购票的平台。,0.0
宝宝树小时光亲友版,12,1007,96%,图像美化滤镜,相册照片视频,宝宝树小时光亲友版,2017-02-22,小时光亲友版由宝宝树出品。帮您记录宝宝的成长点滴，全家共享宝宝每个精彩瞬间。10年来以为4千万家庭保存超过10亿份照片和视频。,4.8
腾讯新闻精华版,3,1005,100%,阅读资讯,新闻资讯时政信息,深圳腾讯计算机系统有限公司,2017-02-17,腾讯新闻是一款7*24小时、全方位、及时报道的新闻产品，为用户提供高效、优质的资讯服务。,5.0
腾旅旅游+,2,1006,80%,旅游旅行,景区服务旅游线路,湖北腾旅科技有限公司,2017-02-23,智慧旅游大平台，让出游更方便，让消费更惠民。,4.0
AI随身听,8,998,100%,阅读听书,阅读小说,AI随身听,2017-03-02,AI随身听采用人工智能技术，重新定义磁带，提供优质有声内容，随时随地想听就听。,5.0
好心,0,996,0%,办公办公软件,设计办公,好心,2017-04-14,好心设计,0.0
众安财险,0,990,0%,金融理财,商业服务金融保险理财,众安财险,2017-01-20,掌上便利购买保险，由蚂蚁金服、腾讯、中国平安等企业发起成立，国内首家互联网保险金融机构。,0.0
博翼绿茵足球装备,1,963,100%,体育足球,足球装备购物商城,博翼绿茵足球装备,2017-04-29,博翼绿茵-足球装备，十年品质保障，专业、实惠、用心、专为每一位足球爱好者。,5.0
搞笑新版,1,959,100%,社交表情头像,搞笑段子搞笑视频趣味阅读趣味聊天,搞笑新版,2017-01-20,最新、最全的搞笑段子，国内外搞笑视屏集锦，更新超快！,5.0
手绘微课,1,958,100%,教育学习,教育学习,手绘微课,2017-04-14,手绘微课 lite 版，可以在小程序上手绘方式制作微课，浏览热门微课，观看参与微课，参与微课互动答题，二维码扫码看微课,5.0
太平洋汽车网+,0,953,0%,生活汽车,购物商城购车生活服务,太平洋汽车网+,2017-01-20,太平洋汽车网小程序是由太平洋汽车网装也打造小程序应用，太平洋汽车网小程序能够为大家提供精准的汽车报价和其他服务；只需要通过手机微信扫描太平洋汽车网小程序二维码就能立即进入太平洋汽车网小程序！太平洋汽车网小程序有什么特色？太平洋汽车网小程序会根据自动地位你所在的城市来给出不同地区的汽车价格，你需要在搜索栏根据你自己喜欢的车辆型号来选择车型，就会快速的告诉你这辆车的一些基本性能信息和车的价格范围，还能通过留下你的联系方式来询问底价！非常的方便！,0.0
